Country Name,Country Code,"2016 [YR2016] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2016 [YR2016] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2016 [YR2016] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2016 [YR2016] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]","2017 [YR2017] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2017 [YR2017] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2017 [YR2017] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2017 [YR2017] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]","2018 [YR2018] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2018 [YR2018] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2018 [YR2018] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2018 [YR2018] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]","2019 [YR2019] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2019 [YR2019] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2019 [YR2019] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2019 [YR2019] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]","2020 [YR2020] - Manufacturing, value added (constant LCU) [NV.IND.MANF.KN]","2020 [YR2020] - Services, value added (constant LCU) [NV.SRV.TOTL.KN]","2020 [YR2020] - Industry (including construction), value added (constant LCU) [NV.IND.TOTL.KN]","2020 [YR2020] - Agriculture, forestry, and fishing, value added (constant LCU) [NV.AGR.TOTL.KN]"
Eswatini,SWZ,12610311500,20663066200,14507026600,3598490200,13008322300,21265466300,14774111400,3444006500,12926176800,21892623000,14725782500,3646205000,13593531300,22197474200,15368287800,3623639755.24902,12316298636.4367,22700105502.1398,13957657114.9828,3753681550.97961
Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,1095758500,5249483500,1577623100,680739100,1111341500,5439863600,1644023400,754158500,1137087200,5533991400,1734215200,781941600,1111056800,5543589500,1726451500,816645700,1066816303.02825,4498876627.99768,1612931323.73434,849061889.028107
Finland,FIN,32563000000,131323000000,51169000000,4870000000,34983000000,134827000000,54339000000,4978000000,33478000000,137589000000,53055000000,4937000000,34522000000,139885000000,53425000000,5379000000,34216000000,134782000000,52763000000,5228000000
Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,231342087000,1567130191000,388449659000,30935220000,236521834000,1602478383000,393772561000,33482690000,240448915000,1632150216000,401041031000,34793299000,245411120000,1664328330000,408793852000,33989445000,218581393000,1541257674000,362886412000,33939928000
French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,712945235200,2775128361700,1795346006100,328871584000,693388877400,2925722098400,1676751208800,368919835000,1313471780000,2973878720000,1671624970000,403934919200,1555488850000,3005776430000,1787523080000,435721139000,1339220381000,2980686133000,1733785025300,458197861000
Georgia,GEO,3119200000,21629000000,6933600000,2578900000,3173886000,22997735400,7236567300,2380207500,3305149000,24291957600,7198105700,2708657900,3349142900,25828366000,7392808700,2726347800,3347712700,23815647600,7186172400,2825816600
Germany,DEU,639840370000,1909207270000,853700780000,20357400000,662993100000,1956771730000,882747030000,21596460000,670813300000,1981931430000,892688540000,17798480000,665640880000,2014365070000,886370430000,20264160000,598892070000,1937565960000,821010420000,20606040000
Ghana,GHA,15722818799.205,56191069602.54,45284564702.8708,26824149255.9498,17219028083.2468,58127919006.4184,52355486999.5754,28490958804.3468,17932727508.9039,59761371488.3885,57854380653.3003,29880099351.8732,19066332743.8948,64316771411.8895,61537281840.0793,31271050337.9302,19331470549.4977,65260183116.9857,59344020570.5204,33583145335.562
Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,14042672000,121843112000,26125729000,6309773000,14730352000,124508483000,25659563000,7135832000,15010253000,126288172000,25780342000,7035988000,15573480000,127895842000,26032505000,7393850000,15374892000,115434405000,25405126000,7371050000
Greenland,GRL,1324300000,9344100000,3494700000,1890700000,550500000,9399400000,3055600000,1974500000,1059000000,9480100000,3665500000,1896400000,..,..,..,..,..,..,..,..
Grenada,GRD,65141900,1488454800,292618200,158133900,66903300,1545750000,336740000,133800000,73220000,1582570000,370090000,137760000,78250000,1632510000,376830000,131170000,62600000,1481090000,328450000,115160000
Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,66269698000,283739976000,106993715000,46038319000,68252021000,293459828000,107908661000,47561009000,70473061000,303997668000,109668249000,48756055000,72669015000,315663430000,113793288000,49766669000,72530544000,309645115000,112467050000,51222450000
Guyana,GUY,48372614908.2751,381080048256.543,279811733439.295,217220708386.825,49104759071.3871,391744841431.132,272328356475.054,244733642826.175,50208451528.7341,403182235774.662,280462550234.321,260963288329.869,57567845798.9064,419927875081.14,306426633241.263,259670415818.235,52633000000,380278000000,804895000000,270445000000
Haiti,HTI,109228472000,321169429400,172234688100,105053714100,109871046300,327613491600,173155607200,106089777500,111327963700,333588949800,175076357100,107636634900,110917653400,336317127600,157571232700,107415245900,115650746700,332515583000,164295133900,106063402300
Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,38340000000,132120100000,49470400000,27303100000,39843200000,137176500000,51697400000,30128900000,41404700000,142518100000,53800400000,30922100000,42231200000,148900600000,54788500000,30602300000,36302500000,141390400000,46934200000,28687300000
"Hong Kong SAR, China",HKG,28751000000,2414890000000,..,2226000000,28876000000,2500152000000,..,2111000000,29243000000,2577340000000,..,2073000000,29366000000,2559558000000,..,2057000000,27653000000,2390882000000,..,2157000000
Hungary,HUN,7088674000000,19413154000000,9182152000000,1491491000000,7327456000000,20392155000000,9597735000000,1392362000000,7567067000000,21647679000000,10042717000000,1450012000000,7736659000000,22718298000000,10519786000000,1448537000000,7327675000000,21631105000000,9932525000000,1349742000000
IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,244201964000,1593608005000,493488466000,124064183000,247137448000,1676381903000,516508684000,124117694000,258886794000,1760209491000,537495237000,132345527000,249724464000,1797285366000,550003843000,140386342000,237358034000,1675235861000,516100104000,139632120000
IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,20547643440882.8,60353274951515.5,35669527296704.6,17260043995504.9,22094277631577,64181521143196.7,37759955038127.6,18400228955980.8,23260674401659.7,68805348845218.6,39765226421460.7,18871449905051.6,22694243146781.4,73752936727003.2,39276062578073.5,19685708869527.2,20795377371167.5,67762982240511.9,36069090515103.5,20282879826079.2
Indonesia,IDN,2.0168769E+15,4.0625876E+15,3.8241548E+15,1.2109555E+15,2.1034661E+15,4.2922774E+15,3.980606E+15,1.2583757E+15,2.1933684E+15,4.5421456E+15,4.1534942E+15,1.307253E+15,2.2766678E+15,4.8326162E+15,4.3117406E+15,1.3543991E+15,2.2099203E+15,4.7634578E+15,4.191006E+15,1.3781313E+15
"Iran, Islamic Rep.",IRN,781043000000000,3.3164161968597E+15,3.1042598134131E+15,441972088922700,822509000000000,3.462166220872E+15,3.198542895038E+15,456017693530700,756708000000000,3.44216364366E+15,2.8481406563733E+15,451713677232400,772396000000000,3.4366537686695E+15,2.3960334950599E+15,491470391582000,..,3.226758216E+15,2.498774613E+15,511129207000000
Iraq,IRQ,1787446600000,57399245700000,147988154200000,4598970600000,1926417400000,60261983300000,142691750800000,3863223000000,1957710000000,60839407000000,139307827200000,4358551100000,2059862600000,63012039800000,144468083100000,6048361400000,..,55163022495445.8,127779419076454,6895131996000
Ireland,IRL,89941751000,144957014000,99693452000,2589295000,93265189000,157426947000,103880232000,2737682000,103407236000,173603933000,114681397000,2476815000,105833859000,185300924000,117781363000,3110719000,130225262000,178810833000,141588048000,3051570000
Isle of Man,IMN,119542000,4644629000,392167000,29269000,106131000,4777218000,379067000,20428000,112600000,4870058000,418195000,21425000,..,..,..,..,..,..,..,..
Israel,ISR,145172454000,827880726000,234337042000,14623331000,152519750000,858265773000,245776365000,14895245000,156517472000,887418894000,254965902000,14350542000,160496302000,918030982000,262163372000,14616387000,..,..,..,..
Italy,ITA,245380300000,1119540700000,354548900000,34167700000,253908200000,1134633300000,364928000000,32881800000,258308200000,1141733600000,371818200000,33491200000,256924500000,1146559700000,371370300000,32830000000,227572600000,1053380000000,333310000000,30866100000
Jamaica,JAM,64424000000,570480000000,159060000000,55019000000,65676000000,576462000000,160385000000,53093000000,66239000000,581876000000,168023000000,55269000000,67411000000,591566000000,166763000000,55491000000,63792000000,525576000000,157262000000,54694000000
Japan,JPN,110210000000000,378600699972000,155113100028000,5115700000000,114767500000000,382841931017000,161599568983000,5153500000000,118976000000000,382613899105000,165798600895000,4816600000000,117923200000000,382532301811000,163755198189000,4883300000000,..,..,..,..
Jordan,JOR,5099826800,17190764500,6987264800,1276363000,5151835900,17581467600,7109104600,1337321000,5225876300,17989087000,7195198900,1379610100,5289117300,18431169800,7297128500,1415231000,5146659849.26062,18238085493.9876,7119965344.1457,1438281782.57519
Kazakhstan,KAZ,1342062636200,7707815406300,4404067047200,672641543900,1423928457100,7900510791500,4681524702500,694166073300,1488005237600,8208630712300,4890098804100,720544384100,1574309541400,8569810463600,5213716648400,719823839700,1635707613500,8089901077600,5370528062400,760133974700
Kenya,KEN,441320559700,2150875858300,827872063800,942576930100,444468200000,2277918400000,860172700000,957418500000,463713800000,2430426700000,907253600000,1014421400000,478390600000,2592067300000,949054200000,1050758200000,..,2476897000000,982850000000,1118020000000
Kiribati,KIR,6674700,118078500,25333400,41774900,6908700,122181500,21496400,45538100,7043000,123029000,23218000,45694000,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,451294200000000,948419100000000,..,31353200000000,468070300000000,973106400000000,..,32059800000000,483530200000000,1.0104227E+15,..,32109200000000,489612800000000,1.0399039E+15,..,32859200000000,485106100000000,1.0282138E+15,..,31736300000000
Kosovo,XKX,598088600,2376792600,1368459300,562134400,616318900,2479613400,1429250400,577274900,642458100,2646150700,1494456400,515956700,676698300,2773573300,1563453400,557151000,627588900,2690135300,1449990400,520348400
Kuwait,KWT,2694200000,17959700000,27793000000,168800000,2881100000,18005400000,26100100000,179300000,2718829649.53302,18512782444.6712,26148672369.5363,178622701.574483,2668032825.71366,18741343797.226,25684070551.3095,173829298.058093,..,..,..,..
Kyrgyz Republic,KGZ,40383571800,145729867900,84525159400,44199557800,43090414000,150499243300,92970157300,45187448000,45274880788.6297,144617831289.841,98405608946.8081,46364461155.6463,48813822132.6701,149205906448.648,106722419134.112,47513156314.0512,45300781668.282,134367053887.688,95480667101.2236,48029216074.1247
Lao PDR,LAO,8971000000000,43943000000000,36667000000000,17254000000000,9368000000000,45926000000000,40923000000000,17750000000000,9952000000000,49044000000000,44119000000000,17975000000000,10622000000000,52409000000000,46591000000000,18194000000000,11235605000000,50676400487179.5,48263217000000,18769466000000
Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latvia,LVA,2616897000,16472965000,4695445000,821936000,2792223000,16841720000,5029087000,836670000,3005061000,17480355000,5192775000,806558000,3069166000,17861345000,5268216000,905465000,3042339000,17010300000,5270891000,921672000
Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,4167785548800,46388105943500,8307859453300,2584782847700,4091785387800,46850376535000,8036394804400,2930229743700,3935211571200,46330074366600,7699289252700,2813340728400,3312286641334.94,44483780789900,6358774976500,2982141172100,2787967710453.9,37277092873385.1,6342772904570.56,2233196287767.11
Lesotho,LSO,2682971800,12846960900,5678026000,1441633900,2428260200,12558677000,5492923900,1150226200,2773735000,12288812100,5693150000,997961400,2793872800,12365746400,5618958800,1058793000,2230683800,10983900300,5019360900,1328534100
Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,6630463000,23192451000,10054077000,1227958000,7001902000,24141901000,10582073000,1226916000,7272137000,25219952000,11050751000,1095517000,7562192000,26222347000,11561367000,1203775000,7617288000,25745180000,11633737000,1268638000
Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,LUX,2839174000,43007606000,6240013000,104928000,2795435000,43824454000,6287052000,99650000,2771479000,44828620000,6664933000,97711000,2792785000,45895206000,6766720000,100842000,2584491000,45828199000,6445084000,101055000
"Macao SAR, China",MAC,2089000000,355240000000,24684000000,..,2318000000,394184000000,19889000000,..,2404000000,420806000000,18224000000,..,2372000000,409259000000,19223000000,..,..,..,..,..
Malaysia,MYS,273898543000,647149265000,472186166000,93977445000,290463685000,688964684000,494219212000,99508778000,304842657000,736605869000,510627734000,99578917000,316320488000,781814906000,522278511000,101548730000,308054065000,737104828500,490554183600,99331358300
Maldives,MDV,1310873200,46832071700,6155931900,3050088200,1480827900,49732822000,6956340600,3302025500,1650198300,53349779400,8040470400,3459798400,1685975000,57633134800,8160160300,3633925000,1327200000,38794200000,6418800000,3867000000
Malta,MLT,750882261.050421,..,..,108103882.213007,822728131.732029,..,..,84154911.5257889,889298412.724387,..,..,97448414.5794692,933678207.293642,..,..,89923926.3588061,932912798.941374,..,..,80292697.4619043
Marshall Islands,MHL,5314000,140505100,21498600,21700300,3843400,147943300,21349800,22130400,5035500,152388900,23044300,23078100,4946700,153905300,26552800,30391900,..,..,..,..
Mauritania,MRT,15924348000,93356872300,58799679400,43605574500,20293617200,98498614500,60714960900,42321500600,19657057600,106082422372.306,55624843738.1242,43202977194.0446,..,113637613930.707,59618942984.7208,43807818874.7613,..,110270117745.822,59886887146.1636,43676395418.137
Mauritius,MUS,42797139100,223688641200,59237404200,13652213700,43443194000,232822011200,60879610600,13625666200,43727236800,242454137200,62468000000,13445463400,43927529300,250650006600,63992880800,13998439100,36124406400,216710000000,51897406400,13633000000
Mexico,MEX,2801945803000,11028157147000,5394332878000,560060260000,2879958882000,11369961384000,5380885562000,578962409000,2933055868000,11701344274000,5407825942000,592120578000,2950487374000,11779453151000,5317413687000,593807328000,2654467686000,10872140558000,4785986200000,605257588000
"Micronesia, Fed. Sts.",FSM,1280100,155869700,11634600,63540200,1338800,160355500,11966700,62981300,1352600,161803100,11087200,63069000,1518800,164833800,10658200,64766600,..,..,..,..
Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,12566290200,57070387600,22749624300,13180332400,13068214600,59072099900,23623768200,14308059600,13539745300,60863671500,25631954800,14673209400,14068000500,63110804700,27494883600,14338004800,13180604335.3541,59519433205.7822,27155856141.168,10551829198.0896
Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,912052669700,6721063597400,5718687595700,2200717103500,1093301474100,7238073005600,5759498734700,2240488984500,1264516125800,7576728086400,6212104077500,2340627922800,1402246284000,8016735212000,6402385188000,2537907406000,1420345945000,7447782601000,6003623574000,2694507147000
Montenegro,MNE,82647700,1601214700,463302800,210120300,90518500,1682821900,508448500,203575700,98662700,1754531200,586324400,210312600,97690700,1848560600,619097400,205725600,..,..,..,..
Morocco,MAR,126556000000,476016000000,198995000000,115448000000,129693725600,489213670900,206075987100,130545113400,134178544700,504261597700,212230395900,133742708300,137929279600,523307147500,219740572900,127541387400,129208196200,484488028000,207530043200,118617594600
Myanmar,MMR,17374675400000,31573409200000,27361166300000,19548623500000,19092866800000,34308544200000,29639296100000,19562189800000,20942379000000,37149069000000,32125922500000,19872349900000,..,38003497587000,32543559492500,20110818098800,..,33785109354843,29191572864772.5,18622617559488.8
Namibia,NAM,18335361671.9246,86541023080.8258,37767523344.5168,9917440124.51172,18033294962.4062,85744858016.0141,37499146341.8007,10205933044.4336,17966110400.9151,84920171427.7267,39469114854.5742,10614253753.6621,18733213243.4845,85951252443.3136,38433762327.1942,10274878051.7578,15066605407.238,81151030883.7891,32837632909.2979,10878180511.4746
Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,91536960119.0048,920370179389.341,238776878792.941,541301129917.783,106939868727.262,997497002153.77,279697037861.7,569311993280.132,116785493037.795,1089800055845.97,308686201137.859,584166820757.797,124403022134.828,1163506097273.08,331465080449.22,614291882642.414,113737688051.998,1117366450204.7,319219621025.861,628013870594.462
Netherlands,NLD,76137000000,492503000000,128377000000,12163000000,80768894000,505036022000,134339432000,12220350000,83976562000,516474685000,138174398000,12062432000,84314113000,528311389000,139585844000,12270144000,82163960000,505719723000,136107226000,12317195000
New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,29482430000,175269491000,55487673000,11472637000,30097941000,182227327000,57601534000,11004582000,30869228000,187821329000,59134141000,11751703000,30762843000,191530847000,59834411000,11371961000,..,..,..,..
Nicaragua,NIC,25774000000,98790000000,37731000000,24230000000,26512000000,103421000000,38605000000,26437000000,26915000000,98735000000,38579000000,26742000000,26823000000,94092000000,37262000000,27459000000,26194000000,91266000000,36628000000,27667000000
Nigeria,NGA,6302232446800,36405752063600,14918146528800,16607337334500,6288896797000,36073205003400,15238280046400,17179495286600,6420590281700,36732366652900,15523427555000,17544147740400,6469831879800,37546896534600,15882346431900,17958583707700,6291592133100,36712480720100,14953715192500,18348175935300
North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,45565000000,246970000000,99803000000,32309000000,46312000000,254770000000,101326000000,28284000000,49178000000,261552000000,99303000000,30622000000,50368000000,269260000000,103574000000,30520000000,45017000000,262139000000,96499000000,31035000000
Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,204712000000,1779778000000,969908000000,44957000000,205336000000,1809755000000,1001001000000,46850000000,209086000000,1859260000000,982444000000,46436000000,214736000000,1899069000000,963347000000,48487000000,209270000000,1845991000000,998990000000,48567000000
Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Oman,OMN,2634573346.67093,12425917486.9656,17602290023.2886,532809327.16519,2718677919.52122,12905001254.7673,17322660852.1403,579312848.898876,2984069257.92604,12729756919.3098,17695411219.7765,743262867.119581,3119535367.16343,12593295197.4263,17916697701.2258,757748090.185142,..,..,..,..
Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,1494591000000,6588200000000,2323169000000,2205433000000,1581680000000,7014467000000,2428902000000,2253565000000,1667524000000,7459758000000,2540894000000,2343614000000,1656570000000,7739836000000,2483243000000,2357095000000,1564543000000,7694066000000,2417615000000,2420109000000
Palau,PLW,2833500,217581400,22288100,8816400,2804600,211533200,20996200,9557500,2829700,231125900,21473800,9062400,..,..,..,..,..,..,..,..
Panama,PAN,2084500000,25080100000,10525000000,941600000,2139100000,26423600000,11264200000,951900000,2160600000,27571100000,11561100000,976600000,2137600000,28510500000,11929200000,1024600000,1667400000,25161800000,8096600000,1066700000
Papua New Guinea,PNG,1043319800,24298706900,24951682200,9497000000,1081824800,24637287200,26119495400,9720000000,1008852900,25881644500,24152273600,10165000000,..,..,..,..,..,..,..,..
Paraguay,PRY,37202915978100,90464274308500,66499598342300,22129889098800,39515611303300,95189639937600,68812405100600,23236095504300,40446856054600,99457975232100,70086048689300,23683100186200,39972695943800,101897560702500,67971999933500,22944443989100,39384373638000,98356610548300,68274843284900,24565690199400
Peru,PER,66783000000,257654000000,170512000000,27556000000,67154000000,265358000000,174027000000,28374000000,71062000000,276285000000,178979000000,31092000000,70098000000,286850000000,178771000000,31370000000,60707000000,254868000000,155491000000,31794000000
Philippines,PHL,3070939377400,9529249159800,4861341752300,1672084982900,3317641432600,10230262208900,5202581583100,1743134294000,3488331181025.03,10920048472266.1,5582525289316.91,1762616496578.69,3620455937585.98,11711026767278.4,5887868696886.7,1783855147258.18,3266647577149.29,10634575023272.6,5112114594890.06,1780544486707.81
Poland,POL,301530200000,971415500000,511964500000,37798800000,307897500000,1025610500000,528772900000,38141600000,328358700000,1081214000000,565636400000,34680900000,345160100000,1143055700000,578113500000,34705100000,..,1092561300000,572213800000,33669000000
Portugal,PRT,22267842000,119946929000,35415182000,3728160000,23609000000,123631728000,36882198000,3803732000,24449633000,126500402000,38494581000,3763427000,24449408000,130265735000,38597470000,3891793000,22536300000,121654789000,36456788000,3539660000
Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Qatar,QAT,51926765000,276126942700,390047242100,1043742200,51499069600,281584160700,397822902300,1259029900,54971561173.0832,287572603013.825,402949595051.196,1456518930,54066081559.214,298077445093.399,397269116317.938,1499312896.74531,50546675993.2646,289341088421.949,385383074249.233,1519077825.1813
Romania,ROU,83981500000,240327600000,121928800000,22999200000,90603300000,259948100000,127584400000,26345200000,93186200000,274147900000,129193900000,28817600000,92889700000,290577200000,130108300000,27363800000,83713500000,..,122988200000,22936000000
Russian Federation,RUS,10017322656500,48811729314900,24977559735600,3287844270600,10456681423800,49733300083000,25428942439900,3336941063400,10871001787300,51116493508600,26161930919600,3393921811100,11172128437200,52211366452500,26548668289800,3511158228700,11169334570400,51087451354200,25698259765500,3517903643400
Samoa,WSM,154165000,1450062900,358163100,188717500,160146500,1462262200,336657100,218865000,114760900,1479706000,294763600,201682300,122513700,1532688200,324732100,189490300,106881600,1504243400,299709300,186820000
San Marino,SMR,341635945.185509,..,..,162783.98357502,340129948.890935,..,..,243104.081751844,388013444.22676,..,..,197772.172915627,377502678.537982,..,..,188533.378826679,..,..,..,..
Sao Tome and Principe,STP,267264500,2694457300,658839300,312564900,269834200,2817248600,678143800,317403200,265889000,2901878500,683682600,306193300,268897200,2994158000,688504200,309053800,277855500,3059206400,718427200,304927700
Saudi Arabia,SAU,307987114000,1017851126800,1509663430800,60122355100,311981642700,1036884932200,1473475939300,60422009400,318529184500,1063290360600,1513395124500,60617194700,313552775700,1109909489000,1474120742800,61409734200,289323136399.795,1089826559043.83,1388230535719.8,60360665305.6991
Senegal,SEN,1867067796200,5825115315300,2573418281400,1524037999900,1962886214100,6162643951700,2756057291300,1698870830100,2042527424300,6495639644800,2935652138700,1836433719900,2115344780600,6791497993900,3044602911800,1919068016900,..,6676042528000,3132896396300,2076431594300
Serbia,SRB,656226400000,2249452000000,1142781300000,311289000000,685826700000,2326801800000,1177698400000,275824200000,695960800000,2416005100000,1209021100000,317514600000,697009900000,2522058900000,1281662700000,312396500000,..,2477509900000,1271084100000,325577800000
Seychelles,SYC,519040200,6340475100,858870000,160812200,543426600,6642857600,839800100,166126800,614250500,6822868400,967323300,189571800,626000000,6843000000,956600000,208500000,617000000,5823400000,941800000,207100000
Singapore,SGP,79432800000,304272200000,..,137500000,87698600000,315181400000,..,141500000,93862800000,325372700000,..,146000000,92496900000,332429500000,..,155300000,99211100000,311232000000,..,139800000
Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,15436770000,46982081000,24143772000,2298497000,15674596000,48447763000,24710689000,2052109000,17476629000,49434326000,26175613000,2247757000,17202453000,51111783000,25976050000,2450649000,14779508000,50993054000,22671299000,2099490000
Slovenia,SVN,8177835000,22583735000,11292579000,803305000,8811525000,23615490000,12082675000,762889000,9075969000,24591512000,12557084000,922623000,9826809000,25084175000,13452808000,856699000,9555428000,24135884000,13034079000,889981000
Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,383903000000,1949887000000,783534000000,64305000000,383189000000,1968520000000,792048000000,77857000000,386884000000,1994453000000,790995000000,74157000000,383831188800,2017744981400,778754747700,69048719500,339363010270.392,1908744679017.69,685160314538.626,78069309578.8049
South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Spain,ESP,124609000000,749926000000,225211000000,30883000000,131670000000,774341000000,232974000000,29754000000,130159000000,794732000000,234305000000,31987000000,131006000000,813068000000,239986000000,31182000000,115186000000,719599000000,214922000000,32518000000
Sri Lanka,LKA,1402394800900,5127615533200,2396832896800,644654633000,1460817758100,5313434873300,2509421375900,642159154800,1513671134400,5555324642100,2541186078600,679701691500,1540969241300,5678484695700,2608211135800,686411746300,1481305415300,5595468638700,2427843700100,669801871400
St. Kitts and Nevis,KNA,82980000,1483220000,441700000,18860000,81210000,1485980000,462200000,23880000,87630000,1547400000,439620000,24760000,94770000,1575160000,440170000,30620000,89080000,1346280000,382830000,24770000
